"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"38","Matt Forte NYJ","21.73","19.611","18.116","17.019","23.72","14.830","18.116","19.710","21.73","19.99","BYE","16.222","18.315","19.312","21.74","20.28","14.830"
"39","Theo Riddick DET","14.928","15.725","19.710","15.526","16.222","21.74","BYE","20.57","16.421","23.72","16.123","15.526","15.027","19.99","16.123","18.314","16.421"
"40","Kareem Hunt KC","14.830","16.720","20.28","21.05","17.518","20.57","19.611","19.312","14.332","BYE","15.725","21.73","18.613","19.611","20.28","18.116","19.312"
"41","Darren McFadden DAL","15.725","19.312","14.928","17.817","16.421","BYE","28.11","21.05","18.315","19.710","16.720","20.28","21.05","15.725","19.611","14.631","16.720"
"42","Duke Johnson CLE","20.57","15.027","20.86","18.314","18.613","17.518","14.829","15.526","BYE","15.824","17.019","18.314","20.28","16.421","15.027","16.123","20.57"
"43","Thomas Rawls SEA","16.421","28.11","14.829","20.86","17.817","BYE","15.725","17.518","21.05","14.928","19.710","28.11","16.720","17.019","17.817","14.332","14.928"
"44","Samaje Perine WAS","16.720","17.817","19.611","18.315","BYE","28.11","16.720","14.332","14.631","15.526","21.74","15.725","14.332","20.28","14.928","19.312","15.725"
"45","C.J. Prosise SEA","16.421","28.11","14.829","20.86","17.817","BYE","15.725","17.518","21.05","14.928","19.710","28.11","16.720","17.019","17.817","14.332","14.928"
"46","James White NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"47","Jacquizz Rodgers TB","18.116","16.123","15.526","15.725","14.830","14.928","21.73","16.222","21.74","18.613","BYE","19.710","16.421","15.824","19.710","16.222","21.74"
"48","Jeremy Hill CIN","15.027","17.518","16.421","23.72","21.73","BYE","20.57","20.86","17.019","14.829","19.312","23.72","20.57","16.123","15.526","15.824","15.027"
"49","Latavius Murray MIN","21.74","20.57","19.99","15.824","16.123","16.421","15.027","23.72","BYE","21.05","17.817","15.824","19.710","16.222","18.314","16.421","16.123"
"50","Jamaal Williams GB","14.631","19.710","18.314","16.123","14.332","15.526","21.74","BYE","15.824","16.123","15.027","20.57","19.99","23.72","16.222","15.526","15.824"
"51","Darren Sproles PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"52","Giovani Bernard CIN","15.027","17.518","16.421","23.72","21.73","BYE","20.57","20.86","17.019","14.829","19.312","23.72","20.57","16.123","15.526","15.824","15.027"
"53","Jamaal Charles DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"54","Joe Williams SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
"55","DeAndre Washington OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
"56","Jonathan Williams BUF","18.613","16.222","19.312","19.710","18.314","BYE","19.99","19.611","18.613","21.74","20.28","18.315","14.830","20.86","18.116","14.830","18.116"
"57","Rex Burkhead NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"58","Alvin Kamara NO","15.526","14.830","16.222","18.116","BYE","15.824","16.421","16.123","19.99","21.73","21.05","17.817","16.222","19.710","18.613","19.710","19.99"
"59","Dion Lewis NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"60","Chris Thompson WAS","16.720","17.817","19.611","18.315","BYE","28.11","16.720","14.332","14.631","15.526","21.74","15.725","14.332","20.28","14.928","19.312","15.725"
"61","Shane Vereen NYG","14.332","15.824","16.720","19.99","20.28","19.312","14.631","BYE","17.817","28.11","18.315","21.05","19.611","14.332","16.720","14.928","21.05"
