"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"39","Ryan Griffin HOU","6.721","9.94","6.622","7.318","4.630","12.01","BYE","5.428","8.511","5.827","3.532","6.424","7.318","6.920","6.721","7.615","8.511"
"40","Dion Sims CHI","9.85","6.623","7.615","8.212","7.219","6.424","11.32","7.416","BYE","8.212","10.23","4.231","6.920","9.94","10.23","12.01","7.219"
"41","George Kittle SF","11.32","5.428","5.827","3.532","8.511","8.610","9.18","4.231","3.532","7.613","BYE","5.428","6.026","4.729","7.318","6.721","5.827"
"42","Seth DeValve CLE","7.615","6.424","8.511","9.94","9.26","4.729","7.318","7.219","BYE","10.23","6.721","9.94","7.317","8.212","6.424","6.026","7.615"
"43","Gary Barnidge FA","","","","","","","","","","","","","","","","",""
"44","Maxx Williams BAL","9.94","12.01","6.721","7.615","8.99","6.026","7.219","9.27","7.318","BYE","8.212","4.729","10.23","7.615","12.01","8.511","9.94"
"45","Will Tye NYG","9.18","10.23","4.231","6.623","7.317","7.614","5.428","BYE","5.827","6.920","4.630","8.610","8.99","9.18","4.231","3.532","8.610"
"46","Adam Shaheen CHI","9.85","6.623","7.615","8.212","7.219","6.424","11.32","7.416","BYE","8.212","10.23","4.231","6.920","9.94","10.23","12.01","7.219"
"47","Josh Hill NO","7.219","6.622","11.32","9.27","BYE","10.23","8.212","6.026","6.623","6.125","8.610","5.827","11.32","9.85","9.26","9.85","6.623"
"48","Marcedes Lewis JAC","4.729","7.318","6.424","9.26","7.615","5.827","8.511","BYE","9.94","7.317","12.01","3.532","8.511","5.428","4.729","6.920","7.318"
"49","Clive Walford OAK","7.318","9.26","8.610","7.614","6.424","7.317","4.630","6.125","9.27","BYE","6.622","7.614","7.613","4.630","9.18","4.231","7.317"
"50","Virgil Green DEN","7.317","9.18","6.125","8.99","BYE","7.613","7.317","4.630","4.231","6.622","9.94","8.99","9.27","9.26","8.511","8.610","4.630"
"51","Lance Kendricks GB","5.428","9.85","9.94","6.026","9.18","7.219","7.416","BYE","10.23","6.026","6.424","7.615","6.623","12.01","11.32","7.219","10.23"
"52","Xavier Grimble PIT","12.01","7.219","6.026","6.424","6.721","4.630","9.94","10.23","BYE","8.511","7.318","8.212","9.94","6.424","6.622","4.729","12.01"
"53","Trey Burton PHI","8.610","4.630","7.613","7.317","3.532","11.32","8.610","6.920","7.614","BYE","9.18","6.026","5.428","5.827","7.613","8.99","9.18"
"54","Mychal Rivera JAC","4.729","7.318","6.424","9.26","7.615","5.827","8.511","BYE","9.94","7.317","12.01","3.532","8.511","5.428","4.729","6.920","7.318"
"55","Jordan Leggett NYJ","6.125","8.99","9.27","6.721","12.01","6.622","9.27","9.85","6.125","6.623","BYE","11.32","4.630","7.614","7.416","7.317","6.622"
"56","Nick Boyle BAL","9.94","12.01","6.721","7.615","8.99","6.026","7.219","9.27","7.318","BYE","8.212","4.729","10.23","7.615","12.01","8.511","9.94"
"57","Rico Gathers DAL","7.613","7.614","3.532","5.827","8.212","BYE","6.920","8.610","4.630","9.85","4.231","7.317","8.610","7.613","8.99","5.428","4.231"
"58","Luke Willson SEA","8.212","6.920","7.318","8.511","5.827","BYE","7.613","4.729","8.610","3.532","9.85","6.920","4.231","6.721","5.827","9.18","3.532"
"59","Jake Butt DEN","7.317","9.18","6.125","8.99","BYE","7.613","7.317","4.630","4.231","6.622","9.94","8.99","9.27","9.26","8.511","8.610","4.630"
"60","Richard Rodgers GB","5.428","9.85","9.94","6.026","9.18","7.219","7.416","BYE","10.23","6.026","6.424","7.615","6.623","12.01","11.32","7.219","10.23"
"61","Jordan Cameron FA","","","","","","","","","","","","","","","","",""
"62","Garrett Celek SF","11.32","5.428","5.827","3.532","8.511","8.610","9.18","4.231","3.532","7.613","BYE","5.428","6.026","4.729","7.318","6.721","5.827"
"63","Jonnu Smith TEN","8.99","6.721","5.428","4.729","9.27","8.511","12.01","BYE","6.424","9.94","7.615","8.511","4.729","3.532","6.920","5.827","6.721"
"64","Larry Donnell BAL","9.94","12.01","6.721","7.615","8.99","6.026","7.219","9.27","7.318","BYE","8.212","4.729","10.23","7.615","12.01","8.511","9.94"
"65","Levine Toilolo ATL","6.026","8.212","10.23","6.125","BYE","9.27","6.622","9.26","11.32","9.18","5.428","6.623","7.219","7.416","6.623","7.416","11.32"
"66","Demetrius Harris KC","6.622","4.231","7.317","8.610","4.729","7.615","8.99","7.614","9.18","BYE","7.613","6.125","9.26","8.99","7.317","9.27","7.614"
"67","Anthony Fasano MIA","6.623","7.317","9.26","7.416","7.318","9.85","9.26","6.424","8.99","11.32","BYE","6.622","7.614","6.622","6.125","4.630","6.125"
"68","Stephen Anderson HOU","6.721","9.94","6.622","7.318","4.630","12.01","BYE","5.428","8.511","5.827","3.532","6.424","7.318","6.920","6.721","7.615","8.511"
"69","Brent Celek PHI","8.610","4.630","7.613","7.317","3.532","11.32","8.610","6.920","7.614","BYE","9.18","6.026","5.428","5.827","7.613","8.99","9.18"
"70","Nick O'Leary BUF","9.26","11.32","7.614","9.85","9.94","BYE","6.623","8.99","9.26","7.416","7.317","4.630","6.622","8.511","9.27","6.622","9.27"
"71","Bucky Hodges MIN","7.416","7.615","6.623","10.23","6.026","8.212","6.424","12.01","BYE","8.610","5.827","10.23","9.85","11.32","9.94","8.212","6.026"
"72","Michael Roberts DET","3.532","7.613","9.85","7.219","11.32","7.416","BYE","7.615","8.212","12.01","6.026","7.219","6.424","6.623","6.026","9.94","8.212"
"73","Niles Paul WAS","4.231","5.827","8.99","4.630","BYE","6.920","4.231","9.18","5.428","7.219","7.416","7.613","9.18","7.317","3.532","7.614","7.613"
"74","Ed Dickson CAR","6.920","6.125","7.416","6.622","10.23","4.231","6.026","6.623","9.85","9.27","BYE","9.26","7.416","7.219","8.212","6.623","9.85"
"75","Darren Fells DET","3.532","7.613","9.85","7.219","11.32","7.416","BYE","7.615","8.212","12.01","6.026","7.219","6.424","6.623","6.026","9.94","8.212"
"76","Troy Niklas ARI","10.23","8.511","9.18","6.920","4.231","6.623","5.827","BYE","6.920","5.428","4.729","6.721","5.827","7.318","8.610","7.613","5.428"
"77","C.J. Uzomah CIN","6.424","4.729","8.212","12.01","6.125","BYE","7.615","8.511","6.721","7.318","7.614","12.01","7.615","6.026","7.219","10.23","6.424"
"78","Jeff Heuerman DEN","7.317","9.18","6.125","8.99","BYE","7.613","7.317","4.630","4.231","6.622","9.94","8.99","9.27","9.26","8.511","8.610","4.630"
