"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"38","Eric Decker TEN","23.514","19.827","23.613","19.528","24.68","22.322","24.011","BYE","24.110","18.431","18.630","22.322","19.528","25.74","25.65","25.17","19.827"
"39","Devante Parker MIA","23.416","20.824","22.920","23.515","26.23","23.317","22.920","24.110","23.514","24.39","BYE","20.226","13.532","20.226","21.623","23.612","21.623"
"40","Jeremy Maclin BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"41","Cameron Meredith CHI","23.317","23.416","18.630","27.71","19.429","24.110","24.39","23.515","BYE","27.71","23.219","26.92","25.65","18.431","23.219","24.011","19.429"
"42","Kenny Britt CLE","18.630","24.110","22.322","18.431","22.920","19.528","26.23","19.429","BYE","23.219","19.827","18.431","20.824","27.71","24.110","25.26","18.630"
"43","John Brown ARI","23.219","22.322","22.721","25.65","26.92","23.416","25.17","BYE","25.65","23.613","19.528","19.827","25.17","26.23","23.218","20.625","23.613"
"44","Randall Cobb GB","23.613","23.317","18.431","25.26","22.721","19.429","23.515","BYE","23.219","25.26","24.110","18.630","23.416","24.011","24.39","19.429","23.219"
"45","Jordan Matthews BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"46","Mike Wallace BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"47","Adam Thielen MIN","23.515","18.630","23.416","23.219","25.26","27.71","24.110","24.011","BYE","23.218","25.17","23.219","23.317","24.39","18.431","27.71","25.26"
"48","Corey Coleman CLE","18.630","24.110","22.322","18.431","22.920","19.528","26.23","19.429","BYE","23.219","19.827","18.431","20.824","27.71","24.110","25.26","18.630"
"49","Corey Davis TEN","23.514","19.827","23.613","19.528","24.68","22.322","24.011","BYE","24.110","18.431","18.630","22.322","19.528","25.74","25.65","25.17","19.827"
"50","Rishard Matthews TEN","23.514","19.827","23.613","19.528","24.68","22.322","24.011","BYE","24.110","18.431","18.630","22.322","19.528","25.74","25.65","25.17","19.827"
